IATA,ICAO,Airport
BLO,BIBL,Blonduos Airport
BLP,SPBL,Huallaga
BLQ,LIPE,Aeroporto G. Marconi di Bologna
BLR,VOBG,Bengaluru Intl Airport
BLT,YBTR,Blackwater Airport
BLX,LIDB,Belluno Airport
BLZ,FWCL,Chileka
BMA,ESSB,Bromma
BMB,FZFU,Bumba
BMD,FMML,Tsiribihina
BME,YBRM,Broome Intl Airport
BMI,KBMI,Central Illinois Regional Airport
BMK,EDWR,Borkum
BMM,FOOB,Bitam
BMV,VVBM,Buon Ma Thuot Airport
BMW,DATM,Bordj Mokhtar Airport
BNA,KBNA,Nashville Intl Airport (Berry Field)
BNB,FZGN,Boende
BNC,FZNP,Beni
BND,OIKB,Bandar Abbass Intl Airport
BNE,YBBN,Brisbane Airport
BNI,DNBE,Benin
BNK,YBNA,Ballina-Byron Gateway Airport
BNN,ENBN,Bronnoysund Airport
BNP,OPBN,Bannu Airport
BNR,DFOB,Banfora
BNS,SVBI,Barinas
BNX,LQBK,Banja Luka Intl Airport
BOA,FZAJ,Boma
BOB,NTTB,Bora Bora Airport
BOC,MPBO,Bocas Del Toro Intl
BOD,LFBD,Bordeaux Airport Airport
BOE,FCOB,Boundji
BOG,SKBO,Eldorado Intl
BOH,EGHH,Bournemouth Airport
BOI,KBOI,Boise Air Terminal (Gowen Field)
BOJ,LBBG,Burgas Intl Airport (Sarafovo Airport)
BOM,VABB,Chhatrapati Shivaji Intl Airport
BON,TNCB,Flamingo Intl Airport
BOO,ENBO,Bodo Airport
BOP,FEFO,Bouar
BOS,KBOS,Gen. Edward Lawrence Logan Intl Airport
BOU,LFLD,Bourges Airport
BOY,DFOO,Bobo-Dioulasso
BOZ,FEGZ,Bozoum
BPC,FKKV,Bamenda
BPH,RPMF,Bislig Airport
BPM,OAIX,Bagram Air Base
BPN,WALL,Sepinggan Intl Airport
BPS,SBPS,Porto Seguro Airport
BPT,KBPT,Southeast Texas Regional Airport
BPY,FMNQ,Besalampy
BQA,RPUR,Baler Airport
BQB,YBLN,Busselton Regional Airport
BQH,EGKB,London Biggin Hill Airport
BQK,KBQK,Brunswick Golden Isles Airport
BQL,YBOU,Boulia Airport
BQN,TJBQ,Rafael Hernandez Airport
BQO,DIBN,Tehini
BQS,UHBB,Ignatyevo Airport
BQT,UMBB,Brest
BRC,SAZS,San Carlos de Bariloche Intl Airport
BRD,KBRD,Brainerd Lakes Regional Airport
BRE,EDDW,Airport Bremen
BRI,LIBD,Palese Macchie Airport
BRK,YBKE,Bourke Airport
BRM,SVBM,Barquisimeto
BRN,LSZB,Bern - Belp
BRO,KBRO,Brownsville/South Padre Island Intl Airport
BRQ,LKTB,Brno Turany Airport
BRR,EGPR,Barra Airport
BRS,EGGD,Bristol Intl Airport
BRT,YBTI,Bathurst Island Airport
BRU,EBBR,Brussels National Airport
BRV,EDWB,Bremerhaven
BRW,PABR,Wiley Post-Will Rogers Memorial Airport
BRX,MDBH,Maria Montez Intl Airport
BSA,HCMF,Bosaso
BSB,SBBR,Presidente Juscelino Kubitschek Intl Airport
BSC,SKBS,Jose Celestino Mutis
BSD,ZPBS,Baoshan Airport
BSG,FGBT,Bata Airport
BSJ,YBNS,Bairnsdale Airport
BSN,FEFS,Bossangoa
BSO,RPUO,Basco Airport
BST,OABT,Bost
BSU,FZEN,Basankusu
BSX,VYPN,Pathein
BTA,FKKO,Bertoua
BTB,FCOT,Betou
BTC,VCCB,Batticaloa AB
BTE,GFBN,Bonthe
BTH,WIKB,Hang Nadim Airport
BTJ,WITT,Sultan Iskandarmuda Airport
BTK,UIBB,Bratsk Airport
BTM,KBTM,Bert Mooney Airport
BTQ,HRYI,Butare
BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field)
BTS,LZIB,M.R. Stefanik Airport Bratislava
BTU,WBGB,Bintulu
BTV,KBTV,Burlington Intl Airport
BUD,LHBP,Budapest Ferihegy Intl Airport
BUF,KBUF,Buffalo Niagara Intl Airport
BUG,FNBG,Benguela - 17th Of November
BUJ,DAAD,Bou Saada Airport
BUK,OYBQ,Al-Bough
BUN,SKBU,Buenaventura
BUO,HCMV,Burao
BUQ,FVBU,Bulawayo
BUR,KBUR,Bob Hope Airport
BUX,FZKA,Bunia
BUZ,OIBB,Bushehr Airport
BVA,LFOB,Beauvais - Tille Airport
BVB,SBBV,Boa Vista Intl Airport
BVC,GVBA,Rabil
BVE,LFBV,Brive - La Roche Airport
BVG,ENBV,Berlevag Airport
BWA,VNBW,Bhairahawa
BWE,EDVE,Flughafen Braunschweig-Wolfsburg
BWF,EGNL,Barrow/Walney Island Airport
BWH,WMKB,Butterworth
BWI,KBWI,Baltimore-Washington Intl Thurgood Marshall Airport
BWK,LDSB,Airport Brac
BWN,WBSB,Brunei Intl Airport
BWQ,YBRW,Brewarrina Airport
BWT,YWYY,Burnie Airport
BWU,YSBK,Bankstown Airport
BXE,GOTB,Bakel
BXH,UAAH,Balkhash
BXI,DIBI,Boundiali
BXR,OIKM,Bam Airport
BXU,RPME,Bancasi Airport
BYC,SLYA,Yacuiba
BYK,DIBK,Bouake
BYM,MUBY,Carlos Manuel de Cespedes Airport
BYN,ZMBH,Bayankhongor
BYU,EDQD,Bayreuth
BZD,YBRN,Balranald Airport
BZE,MZBZ,Philip S W Goldson Intl Airport
BZG,EPBY,Bydgoszcz Ignacy Jan Paderewski Airport
BZL,VGBR,Barisal Airport
BZN,KBZN,Gallatin Field Airport
BZO,LIPB,Bolzano Dolomiti Airport
BZR,LFMU,Beziers - Vias Airport
BZU,FZKJ,Buta-Zega
BZV,FCBB,Maya-Maya
CAA,MHCA,Catacamas
CAB,FNCA,Cabinda
CAE,KCAE,Columbia Metropolitan Airport
CAG,LIEE,Cagliari - Elmas Airport
CAH,VVCM,Ca Mau Airport
CAI,HECA,Cairo Intl Airport
CAJ,SVCN,Canaima
CAK,KCAK,Akron-Canton Regional Airport
CAL,EGEC,Campbeltown Airport
CAM,SLCA,Camiri
CAN,ZGGG,Guangzhou Baiyun Intl Airport
CAP,MTCH,Cap Haitien Intl
CAQ,SKCU,Caucasia
CAS,GMMC,Anfa
CAT,MYCB,New Bight Airport
CAX,EGNC,Carlisle Airport
CAY,SOCA,Cayenne - Rochambeau
CAZ,YCBA,Cobar Airport
CBB,SLCB,Jorge Wilsterman
CBG,EGSC,Cambridge City Airport
CBJ,MDCR,Cabo Rojo Airport
CBL,SVCB,Ciudad Bolivar
CBO,RPMC,Awang Airport
CBP,LPCO,Coimbra Airport
CBQ,DNCA,Calabar
CBR,YSCB,Canberra Intl Airport
CBV,MGCB,Coban Airport
CCC,MUOC,Cayo Coco Airport
CCF,LFMK,Carcassonne en Pays Cathare Airport
CCH,SCCC,Chile Chico
CCJ,VOCL,Calicut Intl Airport
CCK,YPCC,Cocos (Keeling) Island Intl Airport
CCL,YCCA,Chinchilla Airport
CCN,OACC,Charkhcharan
CCP,SCIE,Carriel Sur Intl
CCS,SVMI,Simon Bolivar Intl
CCU,VECC,Netaji Subhas Chandra Bose Intl Airport
CCZ,MYBC,Chub Cay Intl Airport
CDC,KCDC,Cedar City Regional Airport
CDG,LFPG,Paris - Roissy Charles de Gaulle Airport
CDO,FACD,Cradock
CDP,VOCP,Cuddapah Airport
CDU,YSCN,Camden Airport
CDV,PACV,Merle K. Mudhole Smith Airport
CDY,RPMU,Cagayan de Sulu Airport
CEB,RPVM,Mactan-Cebu Intl Airport
CEC,KCEC,Jack McNamara Field Airport
CED,YCDU,Ceduna Airport
CEG,EGNR,Hawarden Airport
CEH,FWCD,Chelinda
CEI,VTCT,Chiang Rai Intl Airport
CEK,USCC,Balandino Airport
CEN,MMCN,Ciudad Obregon Intl Airport
CEO,FNWK,Wako Kungo
CEP,SLCP,Concepcion
CEQ,LFMD,Cannes - Mandelieu Airport
CER,LFRC,Cherbourg - Maupertus Airport
CET,LFOU,Cholet Lepontreau Airport
CFE,LFLC,Clermont-Ferrand - Auvergne Airport
CFG,MUCF,Jaime Gonzalez Airport
CFN,EIDL,Donegal Airport
CFR,LFRK,Caen - Carpiquet Airport
CFS,YSCH,Coffs Harbour Airport
CFU,LGKR,Corfu Intl Airport (Ioannis Kapodistrias)
CGB,SBCY,Marechal Rondon Airport
CGH,SBSP,Congonhas Intl Airport
CGK,WIII,Soekarno-Hatta Intl Airport
CGM,RPMH,Camiguin Airport
CGN,EDDK,Koln - Bonn (Konrad Adenauer)
CGO,ZHCC,Zhengzhou Xinzheng Intl Airport
CGP,VGEG,Shah Amanat Intl Airport (M.A. Hannan Int'l)
CGQ,ZYCC,Changchun Longjia Intl Airport
CGR,SBCG,Campo Grande Intl Airport
CGU,SVPR,Manuel Carlos Piar
CGY,RPML,Lumbia Airport
CHA,KCHA,Chattanooga Metropolitan Airport (Lovell Field)
CHB,OPCL,Chilas Airport
CHC,NZCH,Christchurch Intl
CHF,RKPE,R-813
CHH,SPPY,Chachapoyas
CHM,SPEO,Teniente Jaime A De Montreuil
CHO,KCHO,Charlottesville-Albemarle Airport
CHQ,LGSA,Chania Intl Airport (Ioannis Daskalogiannis)
CHR,LFLX,Chateauroux-Deols-Marcel Dassault Airport
CHS,KCHS,Charleston Intl Airport (Civil/Mil.)
CHT,NZCI,Chatham Is/Tuuta
CHV,LPCH,Chaves Airport
CHW,ZLJQ,Jiuquan Airport
CHX,MPCH,Cap. Manuel Nino Intl
CIA,LIRA,Ciampino Airport (Giovan Battista Pastine)
CIC,KCIC,Chico Municipal Airport
CID,KCID,The Eastern Iowa Airport
CIF,ZBCF,Chifeng Airport
CIH,ZBCZ,Changzhi Airport
CIJ,SLCO,Cobija
CIM,SKCM,Cimitarra
CIP,FLCP,Chipata
CIS,PCIS,Canton Afld
CIU,KCIU,Chippewa County Intl Airport
CIX,SPHI,Jose Abelardo Quinones Gonzale
CJA,SPJR,Gen Armando Revoredo Iglesias
CJB,VOCB,Coimbatore Airport
CJC,SCCF,El Loa
CJJ,RKTU,Chongju Intl
CJL,OPCH,Chitral Airport
CJS,MMCS,Abraham Gonzalez Intl Airport
CJU,RKPC,Cheju Intl
CKB,KCKB,Harrison/Marion Regional Airport
CKG,ZUCK,Chongqing Jiangbei Intl Airport
CKH,UESO,Chokurdakh Airport
CKI,YCKI,Croker Island Airport
CKT,OIMC,Sarakhs Airport
CKY,GUCY,Gbessia
CKZ,LTBH,Canakkale Airport
CLA,VGCM,Comilla Airport
CLE,KCLE,Cleveland-Hopkins Intl Airport
CLJ,LRCL,Cluj-Napoca Intl Airport
CLL,KCLL,Easterwood Airport
CLM,KCLM,William R. Fairchild Intl Airport
CLO,SKCL,Alfonso Bonilla Aragon Intl
CLQ,MMIA,Lic. Miguel de la Madrid Airport
CLT,KCLT,Charlotte/Douglas Intl Airport
CLY,LFKC,Calvi - Sainte-Catherine Airport
CLZ,SVCL,Calabozo
CMB,VCBI,Bandaranaike Intl
CMD,YCTM,Cootamundra Airport
CME,MMCE,Ciudad del Carmen Intl Airport
CMF,LFLB,Chambery-Savoie Airport
CMG,SBCR,Corumb
CMH,KCMH,Port Columbus Intl Airport
CMI,KCMI,University of Illinois - Willard Airport
CMK,FWCM,Club Makokola
CMM,MGCR,Carmelita Airport
CMN,GMMN,Mohamed V
CMO,HCMO,Obbia
CMQ,YCMT,Clermont Airport
CMR,LFGA,Colmar - Houssen Airport
CMS,HCMS,Scusciuban
CMW,MUCM,Ignacio Agramonte Intl Airport
CMX,KCMX,Houghton County Memorial Airport
CNB,YCNM,Coonamble Airport
CND,LRCK,Constanta (Mihail Kogalniceanu) Intl Airport
CNF,SBCF,Tancredo Neves Intl Airport
CNG,LFBG,Cognac - Chateaubernard Airport
CNJ,YCCY,Cloncurry Airport
CNN,UELL,Chulman Airport
CNP,BGCO,Constable Pynt Airport
CNR,SCRA,Chanaral
CNS,YBCS,Cairns Intl Airport
CNX,VTCC,Chiang Mai Intl Airport
COD,KCOD,Yellowstone Regional Airport
COG,SKCD,Mandinga
COH,VECO,Cooch Behar Airport
COJ,YCBB,Coonabarabran Airport
COK,VOCI,Cochin International Airport
COO,DBBB,Cadjehoun
COQ,ZMCD,Choibalsan
COR,SACO,Ingeniero Ambrosio L.V. Taravella Intl Airport
COS,KCOS,City of Colorado Springs Municipal Airport
COU,KCOU,Columbia Regional Airport
COV,LPCV,Covilha Airport
COX,MYAK,Congo Town Airport
COZ,MDCZ,Constanza Airport
CPA,GLCP,Cape Palmas
CPD,YCBP,Coober Pedy Airport
CPE,MMCP,Ing. Alberto Acuna Ongay Intl Airport
CPH,EKCH,Copenhagen Kastrup Intl Airport
CPL,SKHA,Gen Navas Pardo
CPO,SCHA,Chamonate
CPP,RPUK,Calapan Airport
CPR,KCPR,Natrona County Intl Airport
CPT,FACT,Cape Town Intl
CPX,TJCP,Benjamin Rivera Noriega Airport
CQF,LFAC,Calais - Dunkerque Airport
CRA,LRCV,Craiova Airport
CRB,YCBR,Collarenebri Airport
CRC,SKGO,Santa Ana
CRD,SAVC,General Enrique Mosconi Airport
CRI,MYCI,Colonial Hill Airport
CRK,RPLC,Diosdado Macapagal Intl Airport (Clark Intl Airport)
CRL,EBCI,Brussels South Charleroi Airport
CRM,RPVF,Catarman National Airport
CRP,KCRP,Corpus Christi Intl Airport
CRQ,KCRQ,McClellan-Palomar Airport
CRV,LIBC,Crotone Airport (S. Anna Airport)
CRW,KCRW,Yeager Airport
CSB,LRCS,Caransebes Airport
CSF,LFPC,Creil Airport
CSG,KCSG,Columbus Metropolitan Airport
CSK,GOGS,Cap Skiring
CSO,EDBC,Magdeburg
CSX,ZGHA,Changsha Huanghua Intl Airport
CSY,UWKS,Cheboksary Airport
CTA,LICC,Catania-Fontanarossa Airport (Catania Intl Airport)
CTC,SANC,Coronel Felipe Varela Airport
CTF,MGCT,Coatepeque Airport
CTG,SKCG,Rafael Nunez
CTL,YBCV,Charleville Airport
