IATA,ICAO,Airport
IPT,KIPT,Williamsport Regional Airport
IQN,ZLQY,Qingyang Airport
IQQ,SCDA,Diego Aracena Intl
IQT,SPQT,Col Francisco Secada Vignetta
IRG,YLHR,Lockhart River Airport
IRI,HTIR,Iringa
IRJ,SANL,Capit
IRO,FEFI,Birao
IRP,FZJH,Isiro-Matari
ISA,YBMA,Mount Isa Airport
ISB,OPRN,Islamabad Intl Airport (Mil./Civil)
ISC,EGHE,St. Mary's Airport
ISE,LTFC,Suleyman Demirel Airport
ISG,ROIG,Ishigaki Airport
ISP,KISP,Long Island MacArthur Airport
IST,LTBA,Istanbul Ataturk Intl Airport
ISU,ORSU,Sulaymaniyah Intl
ITH,KITH,Ithaca Tompkins Regional Airport
ITM,RJOO,Osaka Intl Airport (Itami)
ITO,PHTO,Hilo Intl Airport
IVA,FMNJ,Ampapamena
IVC,NZNV,Invercargill
IVL,EFIV,Ivalo Airport
IVR,YIVL,Inverell Airport
IWJ,RJOW,Iwami Airport
IXA,VEAT,Agartala Airport
IXB,VEBD,Bagdogra Airport (Mil./Civil)
IXC,VICG,Shaheed Bhagat Singh International Airport
IXD,VIAL,Allahabad Airport (Mil./Civil)
IXE,VOML,Mangalore Airport
IXG,VABM,Belgaum Airport
IXH,VEKR,Kailashahar Airport
IXI,VELR,Lilabari Airport
IXJ,VIJU,Jammu Airport
IXK,VAKS,Keshod Junagadh Airport
IXL,VILH,Kushok Bakula Rimpochee Airport
IXM,VOMD,Madurai Airport
IXR,VERC,Birsa Munda Airport
IXS,VEKU,Silchar Airport (Mil./Civil)
IXT,VEPG,Pasighat Airport
IXU,VAAU,Aurangabad Airport
IXW,VEJS,Sonari Airport
IXY,VAKE,Kandla Airport
IXZ,VOPB,Port Blair Airport
IYK,KIYK,Inyokern Airport
IZO,RJOC,Izumo Airport
JAA,OAJL,Jalalabad
JAC,KJAC,Jackson Hole Airport
JAD,YPJT,Jandakot Airport
JAF,VCCJ,Kankesanturai AB
JAI,VIJP,Jaipur Intl Airport
JAK,MTJA,Jacmel
JAL,MMJA,El Lencero Airport
JAN,KJAN,Jackson-Evers Intl Airport
JAU,SPJJ,Jauja
JAV,BGJN,Jakobshavn Airport
JAX,KJAX,Jacksonville Intl Airport
JCH,BGCH,Christianshab Airport
JCU,GECT,Ceuta Heliport
JDH,VIJO,Jodhpur Airport (Mil./Civil)
JDZ,ZSJD,Jingdezhen Airport
JED,OEJN,King Abdulaziz Intl Airport
JEE,MTJE,Jeremie
JEG,BGEM,Auisiait Airport
JER,EGJJ,Jersey Airport
JFK,KJFK,John F. Kennedy Intl Airport
JFR,BGFH,Frederikshab Airport
JGA,VAJM,Jamnagar Airport (Mil./Civil)
JGB,VE46,Jagdalpur Airport
JGO,BGGN,Godhavn Airport
JHB,WMKJ,Sultan Ismail
JHG,ZPJH,Jinghong Gasa Airport
JHS,BGHB,Holsteinsborg Airport
JHW,KJHW,Chautauqua County/Jamestown Airport
JIB,HFFF,Djibouti Ambouli
JIK,LGIK,Ikaria Island National Airport
JIL,ZYJL,Jilin Airport
JIM,HAJM,Aba Segud
JIN,HUJI,Jinja
JIU,ZSJJ,Jiujiang Lushan Airport
JIW,OPJI,Jiwani Airport
JJI,SPJI,Juanjui
JJN,ZSQZ,Quanzhou Jinjiang Airport
JKG,ESGJ,Jonkoping
JKH,LGHI,Chios Island National Airport
JKR,VNJP,Janakpur
JLN,KJLN,Joplin Regional Airport
JLR,VAJB,Jabalpur Airport
JMK,LGMK,Mykonos Island National Airport
JMO,VNJS,Jomsom
JMU,ZYJM,Jiamusi Airport
JNB,FAJS,Johannesburg Intl
JNG,ZLJN,Jining Airport
JNN,BGNN,Nanortalik Airport
JNS,BGNS,Narssaq Airport
JNU,PAJN,Juneau Intl Airport
JNX,LGNX,Naxos Island National Airport
JNZ,ZYJZ,Jinzhou Airport
JOE,EFJO,Joensuu Airport
JOG,WIIJ,Adisucipto Intl Airport
JOI,SBJV,Joinville-Lauro Carneiro de Loyola Airport
JOL,RPMJ,Jolo Airport
JOM,HTNJ,Njombe
JOS,DNJO,Jos
JPA,SBJP,Presidente Castro Pinto Intl Airport
JQE,MPJE,Jaque
JRH,VEJT,Jorhat Airport (Mil./Civil)
JRO,HTKJ,Kilimanjaro Intl
JSA,VIJR,Jaisalmer Airport (Mil./Civil)
JSH,LGST,Sitia Public Airport
JSI,LGSK,Skiathos Island National Airport
JSR,VGJR,Jessore Airport
JST,KJST,John Murtha Johnstown-Cambria County Airport
JSY,LGSO,Syros Island National Airport
JTR,LGSR,Santorini (Thira) National Airport
JTY,LGPL,Astypalaia Island National Airport
JUB,HSSJ,Juba
JUI,EDWJ,Juist
JUL,SPJL,Inca Manco Capac
JUM,VNJL,Jumla
JUV,BGUP,Upernavik Airport
JVA,FMMK,Ankavandra
JWA,FBJW,Jwaneng
JYV,EFJY,Jyvaskyla Airport
KAA,FLKS,Kasama
KAB,FVKB,Kariba
KAC,OSKL,Kamishly
KAD,DNKA,New Kaduna
KAG,RKNN,Kangnung Aero
KAJ,EFKI,Kajaani Airport
KAN,DNKN,Mallam Aminu Kano
KAO,EFKS,Kuusamo Airport
KAP,FZSK,Kapanga
KAR,SYKM,Kamarang
KAT,NZKT,Kaitaia
KAU,EFKA,Kauhava Airport
KAV,SVKA,Bolivar
KAW,VYKT,Kawthoung
KBA,GFKB,Kabala
KBI,FKKB,Kribi
KBL,OAKB,Kabul Intl
KBN,FZWT,Tunta
KBO,FZRM,Kabalo
KBP,UKBB,Boryspil Intl Airport
KBQ,FWKG,Kasungu
KBR,WMKC,Sultan Ismail Petra
KBS,GFBO,Bo
KBV,VTSG,Krabi Airport
KBZ,NZKI,Kaikoura
KCA,ZWKC,Kuqa Airport
KCH,WBGG,Kuching Intl
KCM,LTCN,Kahramanmaras Airport
KCU,HUMI,Masindi
KCZ,RJOK,Kochi Airport
KDA,GOGK,Kolda
KDC,DBBK,Kandi
KDD,OPKH,Khuzdar Airport
KDH,OAKN,Kandahar Intl
KDI,WAAU,Wolter Monginsidi Airport
KDL,EEKA,Kardla Airport
KDN,FOGE,Ndende
KDO,VRMT,Kaadedhdhoo
KDU,OPSD,Skardu Airport
KEC,FZQG,Kasenga
KED,GQNK,Kaedi
KEE,FCOK,Kelle
KEF,BIKF,Keflavik Intl Airport
KEJ,UNEE,Kemorovo Airport
KEL,EDHK,Kiel-Holtenau
KEM,EFKE,Kemi-Tornio Airport
KEN,GFKE,Kenema
KEO,DIOD,Odienne
KEP,VNNG,Nepalgunj
KER,OIKK,Kerman Airport
KES,CZEE,Kelsey
KET,VYKG,Kengtung
KEW,CPV8,Keewaywin
KEY,HKKR,Kericho
KFA,GQNF,Kiffa
KGA,FZUA,Kananga
KGC,YKSC,Kingscote Airport
KGD,UMKK,Khrabrovo Airport
KGF,UAKK,Karaganda
KGG,GOTK,Kedougou
KGI,YPKG,Kalgoorlie-Boulder Airport
KGJ,FWKA,Karonga
KGL,HRYR,Gregoire Kayibanda
KGN,FZOK,Kasongo
KGS,LGKO,Kos Island Intl Airport (Ippokratis)
KGY,YKRY,Kingaroy Airport
KHD,OICK,Khoram Abad Airport
KHG,ZWSH,Kashgar Airport (Kashi Airport)
KHH,RCKH,Kaohsiung Intl Airport
KHI,OPKC,Jinnah Intl Airport
KHJ,EFKJ,Kauhajoki Airport
KHK,OIBQ,Khark Airport
KHM,VYKI,Kanti
KHN,ZSCN,Nanchang Intl Airport
KHS,OOKB,Khasab AB
KHT,OAKS,Khost
KHV,UHHH,Novy Airport
KHW,FBKR,Khwai River
KID,ESMK,Kristianstad
KIF,CNM5,Kingfisher Lake
KIH,OIBK,Kish Airport
KIJ,RJSN,Niigata Airport
KIM,FAKM,Kimberley
KIN,MKJP,Norman Manley Intl
KIR,EIKY,Kerry Airport
KIS,HKKI,Kisumu
KIT,LGKC,Kithira Island National Airport
KIV,LUKK,Chisinau
KIW,FLSO,Southdowns
KIX,RJBB,Kansai Intl Airport
KIY,HTKI,Kilwa Masoko
KJA,UNKL,Krasnoyarsk Yemelyanovo Airport
KJK,EBKT,Kortrijk-Wevelgem Airport
KJP,ROKR,Kerama Airport
KKC,VTUK,Khon Kaen Airport
KKE,NZKK,Kerikeri
KKJ,RJFR,New Kitakyushu Airport
KKN,ENKR,Kirkenes Airport
KKO,NZKO,Kaikohe
KKW,FZCA,Kikwit
KKX,RJKI,Kikai Airport
KLB,FLKL,Kalabo
KLC,GOOK,Kaolack
KLH,VAKP,Kolhapur Airport
KLI,FZFP,Kotakoli
KLO,RPVK,Kalibo Airport
KLR,ESMQ,Kalmar
KLU,LOWK,Klagenfurt
KLV,LKKV,Karlovy Vary Intl Airport
KLX,LGKL,Kalamata Intl Airport
KLY,FZOD,Kalima
KLZ,FAKZ,Kleinsee
KME,HRZA,Kamembe
KMG,ZPPP,Kunming Wujiaba Intl Airport
KMH,FAKU,Johan Pienaar
KMI,RJFM,Miyazaki Airport
KMJ,RJFT,Kumamoto Airport
KMK,FCPA,Makabana
KMN,FZSA,Kamina Base
KMP,FYKT,Keetmanshoop
KMS,DGSI,Kumasi
KMU,HCMK,Kisimayu
KMZ,FLKO,Kaoma
KNA,SCVM,Vina Del Mar
KND,FZOA,Kindu
KNJ,FCBK,Kindamba
KNM,FZTK,Kaniama
KNN,GUXD,Kankan
KNQ,NWWD,Kone
KNS,YKII,King Island Airport
KNU,VIKA,Kanpur Airport
KNX,YPKU,Kununurra Airport
KNZ,GAKA,Kenieba
KOA,PHKO,Kona Intl Airport at Keahole
KOC,NWWK,Koumac
KOE,WRKK,El Tari Airport
KOF,FAKP,Komatipoort
KOI,EGPA,Kirkwall Airport
KOJ,RJFK,Kagoshima Airport
KOK,EFKK,Kruunupyy Airport
KOO,FZRQ,Kongolo
KOP,VTUW,Nakhon Phanom Airport
KOW,ZSGZ,Ganzhou Airport
KPO,RKTH,Pohang Aero
KPS,YKMP,Kempsey Airport
KRA,YKER,Kerang Airport
KRB,YKMB,Karumba Airport
KRE,HBBO,Kirundo
KRF,ESNK,Kramfors
KRH,EGKR,Redhill Airport
KRK,EPKK,John Paul II Intl Airport Krakow-Balice
KRL,ZWKL,Korla Airport
KRM,SYKR,Karanambo
KRN,ESNQ,Kiruna
KRP,EKKA,Karup Airport (Civil/Mil.)
KRR,URKK,Pashkovsky Airport
KRS,ENCN,Kristiansand Airport
KRT,HSSS,Khartoum
KRY,ZWKM,Karamay Airport
KSA,PTSA,Kosrae
KSC,LZKZ,Kosice Airport
KSD,ESOK,Karlstad
KSE,HUKS,Kasese
KSF,EDVK,Kassel-Calden
KSH,OICC,Shahid Ashrafi Esfahani Airport
KSI,GUKU,Kissi
KSJ,LGKS,Kassos Island Public Airport
KSK,ESKK,Karlskoga
KSL,HSKA,Kassala
KSN,UAUU,Narimanovka
KSO,LGKA,Kastoria National Airport (Aristotelis)
KSS,GASK,Sikasso
KST,HSKI,Kosti
KSU,ENKB,Kristiansund Airport
KSW,LLKS,Qiryat Shemona Airport
KSY,LTCF,Kars Airport
KSZ,ULKK,Kotlas Airport
KTA,YPKA,Karratha Airport
KTD,RORK,Kita-Daito Airport
KTE,WMKE,Kerteh
KTL,HKKT,Kitale
KTM,VNKT,Tribhuvan Intl
KTN,PAKT,Ketchikan Intl Airport
KTO,SYKT,Kato
KTQ,EFIT,Kitee Airport
KTT,EFKT,Kittila Airport
KTU,VIKO,Kota Airport
KTW,EPKT,Katowice Intl Airport
KTX,GAKO,Koutiala
KUA,WMKD,Kuantan
KUF,UWWW,Kurumoch Airport
KUH,RJCK,Kushiro Airport
KUL,WMKK,Kuala Lumpur Intl - Sepang
KUM,RJFC,Yakushima Airport
KUO,EFKU,Kuopio Airport
KUS,BGKK,Kulusuk Airport
KUU,VIBR,Kullu Manali Airport
KUV,RKJK,Kunsan Ab
KVA,LGKV,Kavala Intl Airport (Megas Alexandros)
KVB,ESGR,Skovde
KVD,UBBG,Gyandzha
KVX,USKK,Kirov Airport
KWA,PKWA,Bucholz Aaf
KWE,ZUGY,Guiyang Longdongbao Airport
KWG,UKDR,Lozuvatka Intl Airport
KWH,OAHN,Khwahan
KWI,OKBK,Kuwait Intl
KWJ,RKJJ,Kwangju Aero
KWL,ZGKL,Guilin Liangjiang Intl Airport
KWM,YKOW,Kowanyama Airport
KWZ,FZQM,Kolwezi
KXE,FAKD,Klerksdorp
KYA,LTAN,Konya Airport
KYE,OLKA,Rene Mouawad AB
KYP,VYKP,Kyaukpyu
KYS,GAKY,Kayes
KYZ,UNKY,Kyzyl Airport
KZI,LGKZ,Kozani National Airport (Filippos)
KZN,UWKD,Kazan Airport
KZS,LGKJ,Kastelorizo Island Public Airport
LAD,FNLU,Luanda - 4th Of February
LAE,AYLA,Nadzab
LAF,KLAF,Purdue University Airport
LAI,LFRO,Lannion - Cote de Granit Airport
LAK,CYKD,Aklavik
LAN,KLAN,Capital City Airport
LAO,RPLI,Laoag Intl Airport
LAP,MMLP,Manuel Marquez de Leon Intl Airport
LAS,KLAS,McCarran Intl Airport
LAU,HKLU,Lamu/Manda
LAW,KLAW,Lawton-Fort Sill Regional Airport
LAX,KLAX,Los Angeles Intl Airport
LAY,FALY,Ladysmith
LBA,EGNM,Leeds Bradford Intl Airport
LBB,KLBB,Lubbock Preston Smith Intl Airport
LBC,EDHL,Lubeck-Blankensee
LBD,UTDL,Khudzhand
LBE,KLBE,Arnold Palmer Regional Airport
LBG,LFPB,Paris - Le Bourget Airport
LBI,LFCI,Albi - Le Sequestre Airport
LBO,FZVI,Lusambo
LBQ,FOGR,Lambarene
LBS,NFNL,Labasa
LBU,WBKL,Labuan I
LBV,FOOL,Leon M'ba
LBX,RPLU,Lubang Airport
LBY,LFRE,Labaule-Escoublac Airport
LCA,LCLK,Larnaca Intl Airport
LCC,LIBN,Lecce Airport
LCD,FALO,Louis Trichardt
LCE,MHLC,Goloson Intl
LCG,LECO,A Coruna Airport
LCH,KLCH,Lake Charles Regional Airport
LCJ,EPLL,Lodz Wladyslaw Reymont Airport
LCL,MULM,La Coloma Airport
LCO,FCBL,Lague
LCV,LIQL,Tassignano Airport
LCY,EGLC,London City Airport
LDA,VEMH,Malda Airport
LDB,SBLO,Londrina Airport
LDE,LFBT,Tarbes-Lourdes-Pyrenees Airport
LDH,YLHI,Lord Howe Island Airport
LDI,HTLI,Lindi
LDK,ESGL,Lidkoping
LDN,VNLD,Lamidada
LDU,WBKD,Lahad Datu
LDY,EGAE,City of Derry Airport
LEA,YPLM,Learmonth Airport
LED,ULLI,Pulkovo Airport
LEH,LFOH,Le Havre - Octeville Airport
LEI,LEAM,Almeria Intl Airport
LEJ,EDDP,Leipzig-Halle
LEK,GULB,Tata
LEN,LELN,Leon Airport (Mil./Civil)
LEQ,EGHC,Land's End Airport
LER,YLST,Leinster Airport
LET,SKLT,Alfredo Vasquez Cobo
LEX,KLEX,Blue Grass Airport
LEY,EHLE,Lelystad Airport
LEZ,MHLE,La Esperanza
LFR,SVLF,La Fria
LFT,KLFT,Lafayette Regional Airport
LFW,DXXX,Tokoin
LGA,KLGA,LaGuardia Airport
LGB,KLGB,Long Beach Municipal Airport (Daugherty Field)
LGG,EBLG,Liege Airport
LGH,YLEC,Leigh Creek Airport
LGI,MYLD,Deadman's Cay Airport
LGK,WMKL,Langkawi Intl
LGP,RPLP,Legazpi Airport
LGQ,SELA,Lago Agrio
LGR,SCHR,Cochrane
LGS,SAMM,Comodoro Ricardo Salomon Airport
LGW,EGKK,London Gatwick Airport
LHA,EDTL,Lahr (Black Forest Airport)
LHD,PALH,Lake Hood Seaplane Base
LHE,OPLA,Allama Iqbal Intl Airport
LHG,YLRD,Lightning Ridge Airport
LHR,EGLL,London Heathrow Airport
LHW,ZLAN,Lanzhou Airport
LIE,FZFA,Libenge
LIF,NWWL,Ouanaham
LIG,LFBL,Limoges Airport
LIH,PHLI,Lihue Airport
LIL,LFQQ,Lille-Lesquin Airport
LIM,SPIM,Jorge Chavez Intl
LIN,LIML,Linate Airport
LIO,MRLM,Limon Intl Airport
LIQ,FZGA,Lisala
LIR,MRLB,Daniel Oduber Intl Airport
LIS,LPPT,Portela Airport (Lisbon Airport)
LIT,KLIT,Little Rock National Airport (Adams Field)
LIW,VYLK,Loikaw
LIX,FWLK,Likoma
LJA,FZVA,Lodja
LJG,ZPLJ,Lijiang Airport
LJU,LJLJ,Aerodrom Ljubljana
LKL,ENNA,Lakselv Airport
LKN,ENLK,Leknes Airport
LKO,VILK,Chaudhary Charan Singh International Airport
LKY,HTLM,Lake Manyara
LLA,ESPA,Kallax
LLE,FAMN,Malelane
LLI,HALL,Lalibella
LLW,FWLI,Lilongwe Intl
LLY,RPMX,Liloy Airport
LMB,FWSM,Salima
LME,LFRM,Le Mans-Arnage Airport
LMM,MMLM,Federal del Valle del Fuerte Intl Airport
LMP,LICD,Lampedusa Airport
LMQ,HLMB,Marsa Brega
LMR,FALC,Finsch Mine
LMT,KLMT,Klamath Falls Airport (Kingsley Field)
LNK,KLNK,Lincoln Airport
LNO,YLEO,Leonora Airport
LNS,KLNS,Lancaster Airport
LNY,PHNY,Lanai Airport
LNZ,LOWL,Linz
LOB,SCAN,San Rafael
LOE,VTUL,Loei Airport
LOK,HKLO,Lodwar
LOS,DNMM,Murtala Muhammed
LOV,MMMV,Venustiano Carranza Intl Airport
LOY,HKLY,Loyangalani
LPA,GCLP,Gran Canaria Intl Airport
LPB,SLLP,El Alto Intl
LPD,SKLP,La Pedrera
LPI,ESSL,Saab
LPL,EGGP,Liverpool John Lennon Airport
LPP,EFLP,Lappeenranta Airport
LPQ,VLLB,Luang Prabang
LPT,VTCL,Lampang Airport
LPX,EVLA,Liepaja Intl Airport
LPY,LFHP,Le Puy-en-Velay - Loudes Airport
LQM,SKLG,Caucaya
LRB,FXLR,Leribe
LRD,KLRD,Laredo Intl Airport
LRE,YLRE,Longreach Airport
LRH,LFBH,La Rochelle - Ile de Re Airport
LRL,DXNG,Niamtougou
LRM,MDLR,La Romana Intl Airport
LRT,LFRH,Lorient-Bretagne Sud Airport
LSC,SCSE,La Florida
LSE,KLSE,La Crosse Municipal Airport
LSH,VYLS,Lashio
LSI,EGPB,Sumburgh Airport
LSL,MRLC,Los Chiles Airport
LSQ,SCGE,Maria Dolores
LSS,TFFS,Les Saintes Airport
LST,YMLT,Launceston Airport
LSY,YLIS,Lismore Airport
LTA,FATZ,Tzaneen
LTB,YLTV,Latrobe Valley Airport
LTC,FTTH,Lai
LTI,ZMAT,Altai
LTK,OSLK,Bassel Al-Assad Intl
LTL,FOOR,Lastourville
LTM,SYLT,Lethem
LTN,EGGW,London Luton Airport
LTO,MMLT,Loreto Intl Airport
LTQ,LFAT,Le Touquet - Cote d'Opale Airport
LUA,VNLK,Lukla
LUB,SYLP,Lumid Pau
LUD,FYLZ,Luderitz
LUG,LSZA,Lugano Airport
LUH,VILD,Sahnewal Airport
LUN,FLLS,Lusaka Intl
LUO,FNUE,Luena
LUQ,SAOU,San Luis Airport
LUS,FZCE,Lusanga
LUX,ELLX,Luxembourg Intl Airport (Findel)
LVA,LFOV,Laval - Entrammes Airport
LVI,FLLI,Livingstone
LVP,OIBV,Lavan Airport
LWK,EGET,Tingwall Airport
LWO,UKLL,Lviv Airport
LWS,KLWS,Lewiston-Nez Perce County Airport
LWY,WBGW,Lawas
LXA,ZULS,Lhasa Gonggar Airport
LXG,VLLN,Luang Namtha
LXR,HELX,Luxor Intl Airport
LXS,LGLM,Lemnos Intl Airport
LXU,FLLK,Lukulu
LYA,ZHLY,Luoyang Airport
LYC,ESNL,Lycksele
LYG,ZSLG,Lianyungang Airport
LYH,KLYH,Lynchburg Regional Airport (Preston Glenn Field)
LYN,LFLY,Lyon - Bron Airport
LYP,OPFA,Faisalabad Intl Airport
LYR,ENSB,Svalbard Airport
LYS,LFLL,Lyon Saint Exupery Airport
LYX,EGMD,London Ashford Airport
LZA,FZUG,Luiza
LZC,MMLC,Lazaro Cardenas Airport
LZH,ZGZH,Liuzhou Airport
LZI,FZAL,Luozi
MAA,VOMM,Chennai Intl Airport
MAB,SBMA,Maraba Airport
MAD,LEMD,Madrid Barajas Intl Airport
MAF,KMAF,Midland Intl Airport
MAG,AYMD,Madang
MAH,LEMH,Menorca Airport
MAI,FWMG,Mangochi
MAJ,PKMJ,Marshall Is Intl
MAK,HSSM,Malakal
MAM,MMMA,General Servando Canales Intl Airport
MAN,EGCC,Manchester Intl Airport
MAO,SBEG,Eduardo Gomes Intl Airport
MAQ,VTPM,Mae Sot Airport
MAR,SVMC,La Chinita Intl
MAT,FZAM,Matadi-Tshimpi
MAX,GOSM,Ouro Sogui
MAY,MYAB,Clarence Bain Airport
MAZ,TJMZ,Eugenio Mar
MBA,HKMO,Moi
MBC,FOGG,Mbigou
MBD,FAMM,Mafikeng Intl
MBE,RJEB,Monbetsu Airport (Okhotsk-Monbetsu)
MBI,HTMB,Mbeya
MBJ,MKJS,Sangster Intl
MBO,RPUM,Mamburao Airport
MBP,SPBB,Moyobamba
MBQ,HUMA,Mbarara
MBS,KMBS,MBS Intl Airport
MBT,RPVJ,Masbate Airport
MBW,YMMB,Moorabbin Airport
MBX,LJMB,Maribor Airport
MCA,GUMA,Macenta
MCH,SEMH,General Serrano
MCI,KMCI,Kansas City Intl Airport
MCJ,SKAO,San Jose De Maicao
MCM,LNMC,Monaco Heliport
MCN,KMCN,Middle Georgia Regional Airport
MCO,KMCO,Orlando Intl Airport
MCP,SBMQ,Macapa Intl Airport
MCQ,LHMC,Miskolc Airport
MCR,MGMM,Melchor de Mencos Airport
MCT,OOMS,Seeb Intl
MCU,LFBK,Montlucon-Gueret Airport
MCW,KMCW,Mason City Municipal Airport
MCY,YBMC,Sunshine Coast Airport
MCZ,SBMO,Zumbi dos Palmares Airport
MDC,WAMM,Sam Ratulangi Airport
MDE,SKRG,Jose Maria Cordova
MDG,ZYMD,Mudanjiang Airport
MDK,FZEA,Mbandaka
MDL,VYCZ,Chanmyathazi
MDQ,SAZM,Mar Del Plata Intl Airport
MDT,KMDT,Harrisburg Intl Airport
MDW,KMDW,Chicago Midway Intl Airport
MDZ,SAME,El Plumerillo Intl Airport
MEB,YMEN,Essendon Airport
MEC,SEMT,Eloy Alfaro Intl
MED,OEMA,Prince Mohammad Bin Abdulaziz Airport
MEE,NWWR,La Roche Aero
MEG,FNMA,Malange
MEH,ENMH,Mehamn Airport
MEI,KMEI,Meridian Regional Airport (Key Field)
MEL,YMML,Melbourne Intl Airport
MEM,KMEM,Memphis Intl Airport
MEN,LFNB,Mende-Brenoux Airport
MES,WIMM,Polonia Intl Airport
MEW,FZVM,Mweka
MEX,MMMX,Mexico City Intl Airport
MEY,VNMG,Meghauli
MFA,HTMA,Mafia
MFC,FXMF,Mafeteng
MFE,KMFE,McAllen-Miller Intl Airport
MFF,FOOD,Moanda
MFG,OPMF,Muzaffarabad Airport
MFM,VMMC,Macau Intl Airport
MFN,NZMF,Milford Sound
MFQ,DRRM,Maradi
MFR,KMFR,Rogue Valley Intl-Medford Airport
MFS,SKMF,Miraflores
MFU,FLMF,Mfuwe
MFX,LFKX,Meribel Airport
MGA,MNMG,Augusto Cesar Sandino
MGB,YMTG,Mount Gambier Airport
MGD,SLMG,Magdalena
MGF,SBMG,Maringa Domestic Airport
MGH,FAMG,Margate
MGK,VYMT,Mong Tong
MGL,EDLN,Monchengladbach
MGM,KMGM,Montgomery Regional Airport (Dannelly Field)
MGN,SKMG,Baracoa
MGQ,HCMM,Mogadishu
MGU,VYMN,Manaung
MGW,KMGW,Morgantown Municipal Airport (Walter L. Bill Hart Field)
MGX,FOGI,Moabi
MGZ,VYME,Myeik
MHA,SYMD,Mahdia
MHD,OIMM,Mashhad Intl Airport
MHG,EDFM,Mannheim - City
MHH,MYAM,Marsh Harbour Airport
MHK,KMHK,Manhattan Regional Airport
MHP,UMMM,Minsk-1
MHQ,EFMA,Mariehamn Airport
MHT,KMHT,Manchester-Boston Regional Airport
MHU,YHOT,Mount Hotham Airport
MHW,SLAG,Monteagudo
MIA,KMIA,Miami Intl Airport
MID,MMMD,Manuel Crescencio Rej
MIK,EFMI,Mikkeli Airport
MIM,YMER,Merimbula Airport
MIP,LLMR,Mitzpe Ramon Airfield
MIR,DTMB,Habib Bourguiba
MIU,DNMA,Maiduguri
MJA,FMSJ,Manja
MJC,DIMN,Man
MJD,OPMJ,Moenjodaro Airport
MJF,ENMS,Mosjoen Airport
MJL,FOGM,Mouila Ville
MJM,FZWA,Mbuji-Mayi
MJN,FMNM,Amborovy
MJT,LGMT,Mytilene Intl Airport (Odysseas Elytis)
MJV,LELC,Murcia-San Javier Airport
MJZ,UERR,Mirny Airport
MKB,FOOE,Mekambo
MKE,KMKE,General Mitchell Intl Airport
MKG,KMKG,Muskegon County Airport
MKH,FXMK,Mokhotlong
MKI,FEFB,M'boki
MKJ,FCOM,Makoua
MKK,PHMK,Molokai Airport
MKM,WBGK,Mukah
MKR,YMEK,Meekatharra Airport
MKS,HAMA,Mekane Salam
MKT,KMKT,Mankato Regional Airport
MKU,FOOK,Makokou
MKY,YBMK,Mackay Airport
MKZ,WMKM,Malacca
MLA,LMML,Luqa - Malta Intl Airport
MLB,KMLB,Melbourne Intl Airport
MLE,VRMM,Male Intl
MLH,LFSB,EuroAirport Basel-Mulhouse
MLI,KMLI,Quad City Intl Airport
MLM,MMMM,General Francisco J. Mujica Intl Airport
MLN,GEML,Melilla Airport
MLO,LGML,Milos Island National Airport
MLP,RPMM,Malabang Airport
MLU,KMLU,Monroe Regional Airport
MLW,GLMR,Spriggs Payne
MLX,LTAT,Malatya Erhac Airport
MLZ,SUMO,Cerro Largo Intl
MMB,RJCM,Memanbetsu Airport
MMD,ROMD,Minami-Daito Airport (New Minamidaito)
MME,EGNV,Durham Tees Valley Airport
MMF,FKKF,Mamfe
MMG,YMOG,Mount Magnet Airport
MMJ,RJAF,Matsumoto Airport
MMK,ULMM,Murmansk Airport
MMO,GVMA,Maio
MMP,SKMP,San Bernardo
MMX,ESMS,Sturup
MMY,ROMY,Miyako Airport
MMZ,OAMN,Maimama
MNC,FQNC,Nacala
MNG,YMGD,Maningrida Airport
MNJ,FMSM,Mananjary
MNL,RPLL,Ninoy Aquino Intl Airport
MNO,FZRA,Manono
MNR,FLMG,Mongu
MNS,FLMA,Mansa
MNU,VYMM,Mawlamyine
MOA,MUMO,Orestes Acosta Airport
MOB,KMOB,Mobile Regional Airport
MOD,KMOD,Modesto City-County Airport (Harry Sham Field)
MOE,VYMO,Momeik
MOG,VYMS,Mong-Hsat
MOL,ENML,Molde Airport
MOM,GQNL,Letfotar
MON,NZMC,Mount Cook
MOQ,FMMV,Morondava
MOT,KMOT,Minot Intl Airport
MOV,YMRB,Moranbah Airport
MPA,FYKM,Katima Mulilo
MPD,OPMP,Sindhri Airport
MPH,RPVE,Godofredo P. Ramos Airport (Caticlan Airport)
MPK,RKJM,Mokpo
MPL,LFMT,Montpellier-Mediterranee Airport
MPM,FQMA,Maputo
MPN,EGYP,Mount Pleasant Airport
MPT,WPMN,Maliana Airport
MQF,USCM,Magnitogorsk Airport
MQL,YMIA,Mildura Airport
MQM,LTCR,Mardin Airport
MQN,ENRA,Mo i Rana Airport
MQQ,FTTD,Moundou
MQU,SKQU,Mariquita
MQX,HAMK,Alula Aba Nega
MRD,SVMD,Alberto Carnevalli
MRG,YMBA,Mareeba Airport
MRI,PAMR,Merrill Field
MRO,NZMS,Masterton
MRQ,RPUW,Marinduque Airport
MRR,SEMA,J M Velasco Ibarra
MRS,LFML,Marseille - Provence Airport
MRU,FIMP,Mauritius Intl
MRV,URMM,Mineralnye Vody Airport
MRX,OIAM,Mahshahr Airport
MRY,KMRY,Monterey Peninsula Airport
MRZ,YMOR,Moree Airport
